,English,Meaning
0,be,have a specified quality or characteristic
1,a,the 1st letter of the Roman alphabet
2,in,to or toward the inside of
3,have,"possess, either in a concrete or an abstract sense"
4,I,the 9th letter of the Roman alphabet
5,he,the 5th letter of the Hebrew alphabet
6,on,in a state required for something to function or be effective
7,do,engage in
8,say,utter aloud
9,at,100 at equal 1 kip in Laos
10,but,and nothing more
11,not,negation of a word or group of words
12,by,so as to pass a given point
13,as,to the same degree (often followed by 'as')
14,go,change location
15,can,"airtight sealed metal container for food or drink, etc."
16,get,come into the possession of something concrete or abstract
17,all,to a complete degree or to the full or entire extent
18,make,perform or carry out
19,about,(of quantities) imprecise but fairly close to correct
20,know,be cognizant or aware of a fact or a piece of information
21,will,the capability of conscious choice and decision
22,as,to the same degree (often followed by 'as')
23,up,spatially or metaphorically from a lower to a higher position
24,one,smallest whole number or a numeral representing this number
25,time,the continuum of experience in which events pass to the past
26,there,in or at that place
27,year,"the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun"
28,so,to a very great extent or degree
29,think,judge or regard; look upon; judge
30,some,quantifier
31,people,any group of human beings collectively
32,take,get into one's hands
33,out,"moving or appearing to move away from a place, especially one that is enclosed or hidden"
34,just,and nothing more
35,see,perceive by sight or have the power to perceive by sight
36,come,"move toward, travel toward"
37,now,at the present moment
38,like,having the same or similar characteristics
39,other,not the same one or ones already mentioned or implied
40,then,at that time
41,two,the cardinal number that is the sum of one and one
42,more,greater in size or amount or extent or degree
43,want,the state of needing something that is absent or unavailable
44,way,how something is done or how it happens
45,look,perceive with attention; direct one's gaze towards
46,first,preceding all others in time or space or degree
47,also,in addition
48,new,not of long duration
49,day,time for Earth to make a complete rotation on its axis
50,more,greater in size or amount or extent or degree
51,use,put into service
52,no,quantifier
53,man,an adult person who is male (as opposed to a woman)
54,find,"discover or determine the existence, presence, or fact of"
55,here,in or at this place; where the speaker or writer is
56,thing,a separate and self-contained entity
57,give,transfer possession of something concrete or abstract
58,many,amounting to a large but indefinite number
59,well,in a good or satisfactory manner or to a high standard
60,only,without any others being included or involved
61,tell,narrate or give a detailed account of
62,one,smallest whole number or a numeral representing this number
63,very,being the exact same one; not any other:
64,even,being level or straight or regular and without variation
65,back,the posterior part of a human (or animal) body
66,any,one or some or every or all without specification
67,good,having desirable or positive qualities
68,woman,an adult female person
69,through,having finished or arrived at completion
70,life,the organic phenomenon that distinguishes living organisms
71,child,a human offspring (son or daughter) of any age
72,there,in or at that place
73,work,activity directed toward making or doing something
74,down,in a lower place or position
75,may,thorny shrub of a small tree having white to scarlet flowers
76,after,happening at a time subsequent to a reference time
77,call,utter a sudden loud cry
78,world,the 3rd planet from the sun; the planet we live on
79,over,beyond the top or upper surface or edge
80,school,an educational institution
81,still,not in physical motion
82,try,make an effort or attempt
83,in,to or toward the inside of
84,as,to the same degree (often followed by 'as')
85,last,coming after all others in time or space or degree or being the only one remaining
86,ask,make a request or demand for something to somebody
87,need,require or want
88,too,to a degree exceeding normal or proper limits
89,feel,"be conscious of a physical, mental, or emotional state"
90,three,the cardinal number that is the sum of one and one and one
91,state,the way something is with respect to its main attributes
92,never,not ever; at no time in the past or future
93,become,come into existence
94,between,in the interval
95,high,being at or having a relatively great or specific elevation
96,really,in actual fact
97,most,quantifier meaning the greatest in number
98,another,any of various alternatives; some other
99,much,great in quantity or degree or extent
100,family,a group of people related to one another
101,own,belonging to or on behalf of a specified person
102,out,"moving or appearing to move away from a place, especially one that is enclosed or hidden"
103,leave,go away from a place
104,put,cause to be in a certain state
105,old,having lived for a long time or attained a specific age
106,while,a period of indeterminate length marked by some action
107,mean,denote or connote
108,on,in a state required for something to function or be effective
109,keep,"continue a certain state, condition, or activity"
110,student,a learner who is enrolled in an educational institution
111,why,"the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'"
112,let,actively cause something to happen
113,great,a person who has achieved distinction in some field
114,same,same in identity
115,big,above average in size or number or quantity
116,group,any number of entities (members) considered as a unit
117,begin,"set in motion, cause to start"
118,seem,give a certain impression or have a certain outward aspect
119,country,the territory occupied by a nation
120,help,give assistance; be of service
121,talk,use language
122,turn,move around an axis or a center
123,problem,a question raised for consideration or solution
124,every,(used of count nouns) each and all of the members of a group considered singly and without exception
125,start,take the first step or steps in carrying out an action
126,hand,the (prehensile) extremity of the superior limb
127,might,physical strength
128,American,of or relating to the United States of America or its people or language or culture
129,show,make visible or noticeable
130,part,one of the portions into which something is regarded as divided and which together constitute a whole
131,about,(of quantities) imprecise but fairly close to correct
132,place,a point located with respect to surface features of a region
133,over,beyond the top or upper surface or edge
134,such,of so extreme a degree or extent
135,again,anew
136,few,a small but indefinite number
137,case,an occurrence of something
138,most,quantifier meaning the greatest in number
139,week,any period of seven consecutive days
140,company,an institution created to conduct business
141,system,a group of independent elements comprising a unified whole
142,each,(used of count nouns) every one considered individually
143,right,free from error; especially conforming to fact or truth
144,program,a series of steps to be carried out
145,hear,perceive (sound) via the auditory sense
146,so,to a very great extent or degree
147,question,a sentence of inquiry that asks for a reply
148,work,activity directed toward making or doing something
149,play,engage in recreational activities rather than work
150,government,the system or form by which a community is ruled
151,run,move fast by using one's feet
152,small,limited or below average in number or quantity or magnitude
153,number,a concept of quantity involving zero and units
154,off,from a particular thing or place or position
155,always,at all times; all the time and on every occasion
156,move,change location
157,like,having the same or similar characteristics
158,night,the time after sunset and before sunrise while it is dark outside
159,live,"have life, be alive"
160,Mr,a form of address for a man
161,point,a distinguishing or individuating characteristic
162,believe,accept as true; take to be true
163,hold,have in one's hands or grip
164,today,on this day as distinct from yesterday or tomorrow
165,bring,take something or somebody with oneself somewhere
166,happen,come to pass
167,next,immediately following in time or order
168,before,at or in the front
169,large,above average in size or number or quantity or magnitude
170,all,to a complete degree or to the full or entire extent
171,million,the number that is represented as a one followed by 6 zeros
172,must,a necessary or essential thing
173,home,where you live at a particular time
174,under,below some quantity or limit
175,water,compound that occurs at room temperature as a clear liquid
176,room,an area within a building enclosed by walls and floor and ceiling
177,write,name the letters that comprise the accepted form of
178,mother,a woman who has given birth to a child
179,area,the extent of a two-dimensional surface within a boundary
180,national,of or relating to or belonging to a country
181,money,the most common medium of exchange
182,story,a record or narrative description of past events
183,young,any immature animal
184,fact,a piece of information about events that have occurred
185,month,one of the twelve divisions of the calendar year
186,different,"unlike in nature, quality, form, or degree"
